total,lvl1,lvl2,lvl3,total gold,sallary,income,months,income per month
160,70,80,10,150000,90650,59350,9,6594,
170,70,80,20,150000,92538,57462,8,7182,
180,70,80,30,150000,90328,59672,8,7459,
190,70,80,40,150000,86553,63447,7,9063,
200,70,80,50,150000,93186,56814,7,8116,
210,70,80,60,150000,96330,53670,7,7667,
220,70,80,70,150000,90372,59628,6,9938,
230,70,80,80,150000,96560,53440,6,8906,
240,70,80,90,150000,97532,52468,6,8744,
250,70,80,100,150000,128744,21256,8,2657,
170,70,90,10,150000,85800,64200,7,9171,
180,70,90,20,150000,86130,63870,7,9124,
190,70,90,30,150000,88023,61977,7,8853,
200,70,90,40,150000,78848,71152,6,11858,
210,70,90,50,150000,90249,59751,6,9958,
220,70,90,60,150000,102410,47590,7,6798,
230,70,90,70,150000,97236,52764,6,8794,
240,70,90,80,150000,112480,37520,7,5360,
250,70,90,90,150000,108941,41059,6,6843,
260,70,90,100,150000,115538,34462,7,4923,
180,70,100,10,150000,88020,61980,7,8854,
190,70,100,20,150000,86310,63690,6,10615,
200,70,100,30,150000,94644,55356,7,7908,
210,70,100,40,150000,93012,56988,6,9498,
220,70,100,50,150000,95328,54672,6,9112,
230,70,100,60,150000,99300,50700,6,8450,
240,70,100,70,150000,104520,45480,6,7580,
250,70,100,80,150000,110970,39030,6,6505,
260,70,100,90,150000,113736,36264,6,6044,
270,70,100,100,150000,112926,37074,6,6179,
110,80,20,10,150000,103593,46407,24,1933,
120,80,20,20,150000,139776,10224,29,352,
130,80,20,30,150000,174150,-24150,32,-754,
140,80,20,40,150000,157470,-7470,26,-287,
150,80,20,50,150000,181236,-31236,27,-1156,
160,80,20,60,150000,212940,-62940,29,-2170,
170,80,20,70,150000,245115,-95115,31,-3068,
180,80,20,80,150000,335454,-185454,39,-4755,
190,80,20,90,150000,328455,-178455,36,-4957,
200,80,20,100,150000,359232,-209232,37,-5654,
120,80,30,10,150000,102882,47118,19,2479,
130,80,30,20,150000,116000,34000,20,1700,
140,80,30,30,150000,122304,27696,19,1457,
150,80,30,40,150000,145565,4435,20,221,
160,80,30,50,150000,153862,-3862,20,-193,
170,80,30,60,150000,172610,-22610,21,-1076,
180,80,30,70,150000,203544,-53544,23,-2328,
190,80,30,80,150000,178600,-28600,19,-1505,
200,80,30,90,150000,194000,-44000,19,-2315,
210,80,30,100,150000,182956,-32956,17,-1938,
130,80,40,10,150000,97495,52505,15,3500,
140,80,40,20,150000,111350,38650,16,2415,
150,80,40,30,150000,126836,23164,17,1362,
160,80,40,40,150000,126280,23720,15,1581,
170,80,40,50,150000,135407,14593,15,972,
180,80,40,60,150000,145682,4318,15,287,
190,80,40,70,150000,116032,33968,11,3088,
200,80,40,80,150000,150124,-124,14,-8,
210,80,40,90,150000,164890,-14890,14,-1063,
220,80,40,100,150000,151438,-1438,13,-110,
140,80,50,10,150000,96552,53448,13,4111,
150,80,50,20,150000,73593,76407,9,8489,
160,80,50,30,150000,105840,44160,12,3680,
170,80,50,40,150000,109620,40380,12,3365,
180,80,50,50,150000,117168,32832,12,2736,
190,80,50,60,150000,123777,26223,12,2185,
200,80,50,70,150000,132354,17646,12,1470,
210,80,50,80,150000,149511,489,13,37,
220,80,50,90,150000,135060,14940,11,1358,
230,80,50,100,150000,151074,-1074,11,-97,
150,80,60,10,150000,84788,65212,10,6521,
160,80,60,20,150000,73832,76168,8,9521,
170,80,60,30,150000,96350,53650,10,5365,
180,80,60,40,150000,126100,23900,12,1991,
190,80,60,50,150000,113420,36580,10,3658,
200,80,60,60,150000,118552,31448,10,3144,
210,80,60,70,150000,147736,2264,12,188,
220,80,60,80,150000,124682,25318,10,2531,
230,80,60,90,150000,141505,8495,10,849,
240,80,60,100,150000,152184,-2184,11,-198,
160,80,70,10,150000,83904,66096,9,7344,
170,80,70,20,150000,101332,48668,10,4866,
180,80,70,30,150000,75920,74080,7,10582,
190,80,70,40,150000,111870,38130,10,3813,
200,80,70,50,150000,112462,37538,9,4170,
210,80,70,60,150000,102785,47215,8,5901,
220,80,70,70,150000,121984,28016,9,3112,
230,80,70,80,150000,99629,50371,7,7195,
240,80,70,90,150000,129570,20430,9,2270,
250,80,70,100,150000,118406,31594,8,3949,
170,80,80,10,150000,67473,82527,6,13754,
180,80,80,20,150000,71496,78504,6,13084,
190,80,80,30,150000,97242,52758,8,6594,
200,80,80,40,150000,92640,57360,7,8194,
210,80,80,50,150000,89523,60477,7,8639,
220,80,80,60,150000,106326,43674,8,5459,
230,80,80,70,150000,100947,49053,7,7007,
240,80,80,80,150000,120528,29472,8,3684,
250,80,80,90,150000,104100,45900,6,7650,
260,80,80,100,150000,124020,25980,7,3711,
180,80,90,10,150000,75152,74848,6,12474,
190,80,90,20,150000,75874,74126,6,12354,
200,80,90,30,150000,83886,66114,6,11019,
210,80,90,40,150000,89050,60950,6,10158,
220,80,90,50,150000,98872,51128,7,7304,
230,80,90,60,150000,100110,49890,7,7127,
240,80,90,70,150000,107226,42774,7,6110,
250,80,90,80,150000,109109,40891,7,5841,
260,80,90,90,150000,113840,36160,7,5165,
270,80,90,100,150000,112548,37452,6,6242,
190,80,100,10,150000,83631,66369,6,11061,
200,80,100,20,150000,83712,66288,6,11048,
210,80,100,30,150000,94336,55664,7,7952,
220,80,100,40,150000,93240,56760,6,9460,
230,80,100,50,150000,96944,53056,6,8842,
240,80,100,60,150000,101840,48160,6,8026,
250,80,100,70,150000,105228,44772,6,7462,
260,80,100,80,150000,108978,41022,6,6837,
270,80,100,90,150000,115855,34145,6,5690,
280,80,100,100,150000,123024,26976,6,4496,
120,90,20,10,150000,116688,33312,26,1281,
130,90,20,20,150000,174500,-24500,34,-720,
140,90,20,30,150000,181244,-31244,32,-976,
150,90,20,40,150000,207917,-57917,33,-1755,
160,90,20,50,150000,234498,-84498,34,-2485,
170,90,20,60,150000,219669,-69669,29,-2402,
180,90,20,70,150000,261680,-111680,32,-3490,
190,90,20,80,150000,293131,-143131,34,-4209,
200,90,20,90,150000,275770,-125770,29,-4336,
210,90,20,100,150000,296646,-146646,30,-4888,
130,90,30,10,150000,99522,50478,18,2804,
140,90,30,20,150000,92310,57690,15,3846,
150,90,30,30,150000,126918,23082,19,1214,
160,90,30,40,150000,144324,5676,20,283,
170,90,30,50,150000,128154,21846,16,1365,
180,90,30,60,150000,162162,-12162,19,-640,
190,90,30,70,150000,181890,-31890,20,-1594,
200,90,30,80,150000,223296,-73296,23,-3186,
210,90,30,90,150000,212262,-62262,20,-3113,
220,90,30,100,150000,225342,-75342,20,-3767,
140,90,40,10,150000,79616,70384,12,5865,
150,90,40,20,150000,112175,37825,16,2364,
160,90,40,30,150000,110276,39724,14,2837,
170,90,40,40,150000,130544,19456,15,1297,
180,90,40,50,150000,142076,7924,16,495,
190,90,40,60,150000,151998,-1998,16,-124,
200,90,40,70,150000,139700,10300,13,792,
210,90,40,80,150000,160855,-10855,15,-723,
220,90,40,90,150000,173320,-23320,15,-1554,
230,90,40,100,150000,155937,-5937,13,-456,
150,90,50,10,150000,103600,46400,14,3314,
160,90,50,20,150000,109880,40120,13,3086,
170,90,50,30,150000,114466,35534,13,2733,
180,90,50,40,150000,111872,38128,12,3177,
190,90,50,50,150000,115101,34899,11,3172,
200,90,50,60,150000,130468,19532,12,1627,
210,90,50,70,150000,94050,55950,8,6993,
220,90,50,80,150000,153642,-3642,13,-280,
230,90,50,90,150000,153903,-3903,12,-325,
240,90,50,100,150000,163712,-13712,12,-1142,
160,90,60,10,150000,90006,59994,10,5999,
170,90,60,20,150000,99450,50550,11,4595,
180,90,60,30,150000,105312,44688,10,4468,
190,90,60,40,150000,107916,42084,10,4208,
200,90,60,50,150000,125226,24774,11,2252,
210,90,60,60,150000,124545,25455,10,2545,
220,90,60,70,150000,143460,6540,11,594,
230,90,60,80,150000,109557,40443,8,5055,
240,90,60,90,150000,113982,36018,8,4502,
250,90,60,100,150000,119025,30975,8,3871,
170,90,70,10,150000,70500,79500,7,11357,
180,90,70,20,150000,73700,76300,7,10900,
190,90,70,30,150000,74094,75906,6,12651,
200,90,70,40,150000,132832,17168,11,1560,
210,90,70,50,150000,81951,68049,6,11341,
220,90,70,60,150000,83762,66238,6,11039,
230,90,70,70,150000,138970,11030,10,1103,
240,90,70,80,150000,111180,38820,8,4852,
250,90,70,90,150000,122759,27241,8,3405,
260,90,70,100,150000,124616,25384,8,3173,
180,90,80,10,150000,76544,73456,7,10493,
190,90,80,20,150000,74250,75750,6,12625,
200,90,80,30,150000,79634,70366,6,11727,
210,90,80,40,150000,85461,64539,7,9219,
220,90,80,50,150000,90560,59440,7,8491,
230,90,80,60,150000,102309,47691,7,6813,
240,90,80,70,150000,93660,56340,6,9390,
250,90,80,80,150000,102054,47946,6,7991,
260,90,80,90,150000,122664,27336,8,3417,
270,90,80,100,150000,135327,14673,8,1834,
190,90,90,10,150000,87666,62334,7,8904,
200,90,90,20,150000,84240,65760,7,9394,
210,90,90,30,150000,78183,71817,6,11969,
220,90,90,40,150000,93324,56676,7,8096,
230,90,90,50,150000,98463,51537,7,7362,
240,90,90,60,150000,95040,54960,6,9160,
250,90,90,70,150000,99300,50700,6,8450,
260,90,90,80,150000,125034,24966,8,3120,
270,90,90,90,150000,105300,44700,6,7450,
280,90,90,100,150000,131292,18708,7,2672,
200,90,100,10,150000,85684,64316,6,10719,
210,90,100,20,150000,93730,56270,7,8038,
220,90,100,30,150000,90780,59220,6,9870,
230,90,100,40,150000,95424,54576,6,9096,
240,90,100,50,150000,104340,45660,7,6522,
250,90,100,60,150000,101024,48976,6,8162,
260,90,100,70,150000,107520,42480,6,7080,
270,90,100,80,150000,120599,29401,7,4200,
280,90,100,90,150000,118336,31664,6,5277,
290,90,100,100,150000,121218,28782,6,4797,
130,100,20,10,150000,136712,13288,29,458,
140,100,20,20,150000,139776,10224,26,393,
150,100,20,30,150000,160341,-10341,27,-383,
160,100,20,40,150000,209024,-59024,32,-1844,
170,100,20,50,150000,242970,-92970,34,-2734,
180,100,20,60,150000,231800,-81800,30,-2726,
190,100,20,70,150000,276586,-126586,33,-3835,
200,100,20,80,150000,326304,-176304,37,-4764,
210,100,20,90,150000,326603,-176603,34,-5194,
220,100,20,100,150000,344900,-194900,34,-5732,
140,100,30,10,150000,114268,35732,20,1786,
150,100,30,20,150000,131502,18498,21,880,
160,100,30,30,150000,142290,7710,20,385,
170,100,30,40,150000,143523,6477,19,340,
180,100,30,50,150000,155480,-5480,19,-288,
190,100,30,60,150000,174107,-24107,20,-1205,
200,100,30,70,150000,182988,-32988,19,-1736,
210,100,30,80,150000,183995,-33995,18,-1888,
220,100,30,90,150000,223912,-73912,21,-3519,
230,100,30,100,150000,223245,-73245,20,-3662,
150,100,40,10,150000,106986,43014,16,2688,
160,100,40,20,150000,106380,43620,14,3115,
170,100,40,30,150000,105066,44934,13,3456,
180,100,40,40,150000,134610,15390,16,961,
190,100,40,50,150000,126855,23145,14,1653,
200,100,40,60,150000,152160,-2160,15,-144,
210,100,40,70,150000,148257,1743,14,124,
220,100,40,80,150000,153954,-3954,14,-282,
230,100,40,90,150000,184452,-34452,16,-2153,
240,100,40,100,150000,174120,-24120,14,-1722,
160,100,50,10,150000,103664,46336,13,3564,
170,100,50,20,150000,105042,44958,12,3746,
180,100,50,30,150000,115368,34632,13,2664,
190,100,50,40,150000,121213,28787,12,2398,
200,100,50,50,150000,125700,24300,12,2025,
210,100,50,60,150000,138913,11087,13,852,
220,100,50,70,150000,109032,40968,9,4552,
230,100,50,80,150000,151394,-1394,12,-116,
240,100,50,90,150000,113274,36726,9,4080,
250,100,50,100,150000,123370,26630,9,2958,
170,100,60,10,150000,98599,51401,11,4672,
180,100,60,20,150000,120658,29342,13,2257,
190,100,60,30,150000,121324,28676,12,2389,
200,100,60,40,150000,109616,40384,10,4038,
210,100,60,50,150000,117040,32960,10,3296,
220,100,60,60,150000,139780,10220,12,851,
230,100,60,70,150000,139751,10249,11,931,
240,100,60,80,150000,149632,368,11,33,
250,100,60,90,150000,158254,-8254,11,-750,
260,100,60,100,150000,147910,2090,10,209,
180,100,70,10,150000,106608,43392,11,3944,
190,100,70,20,150000,87312,62688,8,7836,
200,100,70,30,150000,89910,60090,8,7511,
210,100,70,40,150000,118788,31212,10,3121,
220,100,70,50,150000,102120,47880,8,5985,
230,100,70,60,150000,121149,28851,9,3205,
240,100,70,70,150000,124212,25788,9,2865,
250,100,70,80,150000,146556,3444,10,344,
260,100,70,90,150000,122112,27888,8,3486,
270,100,70,100,150000,101700,48300,6,8050,
190,100,80,10,150000,72981,77019,6,12836,
200,100,80,20,150000,78344,71656,6,11942,
210,100,80,30,150000,80417,69583,6,11597,
220,100,80,40,150000,107446,42554,8,5319,
230,100,80,50,150000,104845,45155,8,5644,
240,100,80,60,150000,109616,40384,8,5048,
250,100,80,70,150000,96276,53724,6,8954,
260,100,80,80,150000,99752,50248,6,8374,
270,100,80,90,150000,106953,43047,6,7174,
280,100,80,100,150000,132240,17760,8,2220,
200,100,90,10,150000,78416,71584,6,11930,
210,100,90,20,150000,83570,66430,6,11071,
220,100,90,30,150000,86528,63472,6,10578,
230,100,90,40,150000,92125,57875,6,9645,
240,100,90,50,150000,95130,54870,6,9145,
250,100,90,60,150000,97674,52326,6,8721,
260,100,90,70,150000,102752,47248,6,7874,
270,100,90,80,150000,127743,22257,8,2782,
280,100,90,90,150000,109306,40694,6,6782,
290,100,90,100,150000,116280,33720,6,5620,
210,100,100,10,150000,88011,61989,6,10331,
220,100,100,20,150000,89100,60900,6,10150,
230,100,100,30,150000,98049,51951,7,7421,
240,100,100,40,150000,94464,55536,6,9256,
250,100,100,50,150000,97950,52050,6,8675,
260,100,100,60,150000,108966,41034,6,6839,
270,100,100,70,150000,110970,39030,6,6505,
280,100,100,80,150000,114240,35760,6,5960,
290,100,100,90,150000,116580,33420,6,5570,
300,100,100,100,150000,119160,30840,6,5140,
